Removed Pin From Net: NetName=ZP Pin=C4-2
Removed Pin From Net: NetName=+5 Pin=C6-2
Removed Pin From Net: NetName=+5 Pin=C7-2
Removed Pin From Net: NetName=+5 Pin=C8-2
Removed Pin From Net: NetName=+12 Pin=C14-2
Removed Pin From Net: NetName=+12 Pin=C15-2
Removed Pin From Net: NetName=+5 Pin=L1-1
Removed Pin From Net: NetName=NetC3_1 Pin=R2-1
Removed Pin From Net: NetName=GND Pin=R2-2
Removed Pin From Net: NetName=+12 Pin=R3-1
Removed Pin From Net: NetName=GND Pin=R5-1
Removed Pin From Net: NetName=GND Pin=U2-2
Removed Pin From Net: NetName=NetC3_1 Pin=U2-3
Removed Pin From Net: NetName=+5 Pin=U2-4
Removed Pin From Net: NetName=ZP Pin=U2-5
Removed Pin From Net: NetName=+5 Pin=U2-6
Removed Pin From Net: NetName=RC Pin=U4-2
Removed Pin From Net: NetName=Power_IN Pin=U4-4
Removed Pin From Net: NetName=GND Pin=U4-5
Removed Pin From Net: NetName=+12 Pin=U4-6
Removed Pin From Net: NetName=+12 Pin=U4-7
Removed Pin From Net: NetName=+12 Pin=U4-8
Change Component Footprint: Designator=U4 Old Footprint=LMZM33603 New Footprint=LT-LGA-141-05-08-1815_V
Change Component Footprint: Designator=U2 Old Footprint=LT-S6-6-TSOT-23_N New Footprint=LT8570-MSOP
Change Component Comment : Designator=R5 Old Comment=59K New Comment=RES SMD 100K OHM 1% 1/8W 0805
Change Component Comment : Designator=U4 Old Comment=LMZM33603 New Comment=LTM4605EV#PBF
Change Component Comment : Designator=U2 Old Comment=LT3461 New Comment=LT8570
Change component parameters: Designator = "U4"; Footprint = "LT-LGA-141-05-08-1815_V"; UniqueID = "\HLGNQNVB"
Add component (AddParameter): Name = "Package / Case"; Value = "1210 (3225 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Digi-Reel®"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Not For New Designs"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=1.66, 10=1.313, 100=0.9849, 500=0.74414 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.126" L x 0.098" W (3.20mm x 2.50mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "10000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "490-1864-6-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.106" (2.70mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C34(CAPC1206(3216)190_N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "0.47µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.yuden.co.jp/productdata/catalog/en/mlcc_all_e.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.yuden.co.jp/productdata/catalog/en/mlcc_all_e.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Spacing"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Style"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Taiyo Yuden"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "UMK316B7474KL-T"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "1206 (3216 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.3, 10=0.203, 100=0.115, 500=0.08114, 1000=0.071 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.126" L x 0.063" W (3.20mm x 1.60mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "8658"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "587-1325-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.071" (1.80mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C35(CAPC0805(2012)145_N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "0.047µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Spacing"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Style"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata Electronics North America"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "GRM188R71C473KA01D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Digi-Reel®"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.1, 10=0.046, 100=0.0206, 500=0.0147, 1000=0.01155 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.031" W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "26"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "490-1529-6-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.035" (0.90mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "16V"; VariantName = "[No Variations]"
Added Component: Designator=C36(CAPC0805(2012)145_N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "0.047µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Spacing"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Style"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata Electronics North America"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "GRM188R71C473KA01D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Digi-Reel®"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.1, 10=0.046, 100=0.0206, 500=0.0147, 1000=0.01155 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.031" W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "26"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "490-1529-6-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.035" (0.90mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "16V"; VariantName = "[No Variations]"
Added Component: Designator=D2(SMB)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Code_JEDEC"; Value = "DO-214-AA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "DO-214-AA/SMB; 2 C-Bend Leads; Body 5.3 x 3.6 mm, inc. leads (LxW)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "SMB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Added Component: Designator=R9(RESC0805(2012)_M)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Category"; Value = "Resistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.vishay.com/docs/20035/dcrcwe3.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.vishay.com/docs/20035/dcrcwe3.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Failure Rate"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Automotive AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.020" (0.50mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay Dale"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "CRCW080559K0FKEA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0805 (2012 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Digi-Reel®"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power (Watts)"; Value = "0.125W, 1/8W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.1, 10=0.055, 100=0.0223, 1000=0.01003, 2500=0.0087 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.079" L x 0.049" W (2.00mm x 1.25mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "541-59.0KCDKR-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Added Component: Designator=R11(RESC0805(2012)_M)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Category"; Value = "Resistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Failure Rate"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Moisture Resistant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.024" (0.60mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "RC0805FR-0710KL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0805 (2012 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power (Watts)"; Value = "0.125W, 1/8W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.1, 10=0.022, 100=0.0088, 1000=0.00396, 2500=0.00344 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance (Ohms)"; Value = "10k"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.079" L x 0.049" W (2.00mm x 1.25mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "13336570"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-10.0KCRCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Added Pin To Net: NetName=NetC3_1 Pin=C4-2
Added Pin To Net: NetName=+12 Pin=C6-2
Added Pin To Net: NetName=+12 Pin=C7-2
Added Pin To Net: NetName=GND Pin=C23-1
Added Pin To Net: NetName=+12 Pin=C23-2
Added Pin To Net: NetName=GND Pin=C31-1
Added Pin To Net: NetName=+12 Pin=C31-2
Added Pin To Net: NetName=GND Pin=C32-1
Added Pin To Net: NetName=GND Pin=C33-1
Added Pin To Net: NetName=GND Pin=C34-1
Added Pin To Net: NetName=ZP Pin=C34-2
Added Pin To Net: NetName=GND Pin=C35-1
Added Pin To Net: NetName=GND Pin=C36-1
Added Pin To Net: NetName=ZP Pin=D2-2
Added Pin To Net: NetName=+12 Pin=L1-1
Added Pin To Net: NetName=GND Pin=R5-2
Added Pin To Net: NetName=GND Pin=R9-1
Added Pin To Net: NetName=GND Pin=R11-2
Added Pin To Net: NetName=NetC3_1 Pin=U2-1
Added Pin To Net: NetName=+12 Pin=U2-3
Added Pin To Net: NetName=+12 Pin=U2-5
Added Pin To Net: NetName=GND Pin=U2-8
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U4-A1
Added Pin To Net: NetName=GND Pin=U4-A2
Added Pin To Net: NetName=GND Pin=U4-A3
Added Pin To Net: NetName=GND Pin=U4-A7
Added Pin To Net: NetName=RC Pin=U4-A8
Added Pin To Net: NetName=GND Pin=U4-A11
Added Pin To Net: NetName=GND Pin=U4-A12
Added Pin To Net: NetName=GND Pin=U4-B1
Added Pin To Net: NetName=GND Pin=U4-B2
Added Pin To Net: NetName=GND Pin=U4-B3
Added Pin To Net: NetName=GND Pin=U4-B4
Added Pin To Net: NetName=GND Pin=U4-B10
Added Pin To Net: NetName=GND Pin=U4-B11
Added Pin To Net: NetName=GND Pin=U4-B12
Added Pin To Net: NetName=GND Pin=U4-C1
Added Pin To Net: NetName=GND Pin=U4-C2
Added Pin To Net: NetName=GND Pin=U4-C3
Added Pin To Net: NetName=GND Pin=U4-C4
Added Pin To Net: NetName=GND Pin=U4-C5
Added Pin To Net: NetName=GND Pin=U4-C6
Added Pin To Net: NetName=GND Pin=U4-C7
Added Pin To Net: NetName=GND Pin=U4-C8
Added Pin To Net: NetName=GND Pin=U4-C9
Added Pin To Net: NetName=GND Pin=U4-C10
Added Pin To Net: NetName=GND Pin=U4-C11
Added Pin To Net: NetName=GND Pin=U4-C12
Added Pin To Net: NetName=GND Pin=U4-D1
Added Pin To Net: NetName=GND Pin=U4-D2
Added Pin To Net: NetName=GND Pin=U4-D3
Added Pin To Net: NetName=GND Pin=U4-D4
Added Pin To Net: NetName=GND Pin=U4-D5
Added Pin To Net: NetName=GND Pin=U4-D6
Added Pin To Net: NetName=GND Pin=U4-D7
Added Pin To Net: NetName=GND Pin=U4-D8
Added Pin To Net: NetName=GND Pin=U4-D9
Added Pin To Net: NetName=GND Pin=U4-D10
Added Pin To Net: NetName=GND Pin=U4-D11
Added Pin To Net: NetName=GND Pin=U4-D12
Added Pin To Net: NetName=+12 Pin=U4-E1
Added Pin To Net: NetName=+12 Pin=U4-E2
Added Pin To Net: NetName=GND Pin=U4-E3
Added Pin To Net: NetName=GND Pin=U4-E4
Added Pin To Net: NetName=GND Pin=U4-E5
Added Pin To Net: NetName=GND Pin=U4-E6
Added Pin To Net: NetName=GND Pin=U4-E7
Added Pin To Net: NetName=GND Pin=U4-E8
Added Pin To Net: NetName=GND Pin=U4-E9
Added Pin To Net: NetName=GND Pin=U4-E10
Added Pin To Net: NetName=GND Pin=U4-E11
Added Pin To Net: NetName=GND Pin=U4-E12
Added Pin To Net: NetName=+12 Pin=U4-F1
Added Pin To Net: NetName=+12 Pin=U4-F2
Added Pin To Net: NetName=+12 Pin=U4-F3
Added Pin To Net: NetName=+12 Pin=U4-F4
Added Pin To Net: NetName=+12 Pin=U4-G1
Added Pin To Net: NetName=+12 Pin=U4-G2
Added Pin To Net: NetName=+12 Pin=U4-G3
Added Pin To Net: NetName=+12 Pin=U4-G4
Added Pin To Net: NetName=+12 Pin=U4-H1
Added Pin To Net: NetName=+12 Pin=U4-H2
Added Pin To Net: NetName=+12 Pin=U4-H3
Added Pin To Net: NetName=+12 Pin=U4-H4
Added Pin To Net: NetName=Power_IN Pin=U4-J10
Added Pin To Net: NetName=Power_IN Pin=U4-J11
Added Pin To Net: NetName=Power_IN Pin=U4-J12
Added Pin To Net: NetName=Power_IN Pin=U4-K10
Added Pin To Net: NetName=Power_IN Pin=U4-K11
Added Pin To Net: NetName=Power_IN Pin=U4-K12
Added Pin To Net: NetName=Power_IN Pin=U4-L10
Added Pin To Net: NetName=Power_IN Pin=U4-L11
Added Pin To Net: NetName=Power_IN Pin=U4-L12
Added Pin To Net: NetName=Power_IN Pin=U4-M10
Added Pin To Net: NetName=Power_IN Pin=U4-M11
Added Pin To Net: NetName=Power_IN Pin=U4-M12
Added Pin To Net: NetName=NetC8_2 Pin=C8-2
Added Pin To Net: NetName=NetC8_2 Pin=R2-2
Added Net: Name=NetC8_2
Added Pin To Net: NetName=NetC32_2 Pin=C32-2
Added Pin To Net: NetName=NetC32_2 Pin=R5-1
Added Pin To Net: NetName=NetC32_2 Pin=U4-B6
Added Net: Name=NetC32_2
Added Pin To Net: NetName=NetC33_2 Pin=C33-2
Added Pin To Net: NetName=NetC33_2 Pin=U4-B7
Added Net: Name=NetC33_2
Added Pin To Net: NetName=NetC35_2 Pin=C35-2
Added Pin To Net: NetName=NetC35_2 Pin=R2-1
Added Pin To Net: NetName=NetC35_2 Pin=U2-2
Added Net: Name=NetC35_2
Added Pin To Net: NetName=NetC36_2 Pin=C36-2
Added Pin To Net: NetName=NetC36_2 Pin=U2-7
Added Net: Name=NetC36_2
Added Pin To Net: NetName=NetD2_1 Pin=D2-1
Added Pin To Net: NetName=NetD2_1 Pin=L1-2
Added Pin To Net: NetName=NetD2_1 Pin=U2-4
Added Net: Name=NetD2_1
Added Pin To Net: NetName=NetR11_1 Pin=R11-1
Added Pin To Net: NetName=NetR11_1 Pin=U2-6
Added Net: Name=NetR11_1
Added Member To Class: ClassName=12_Supply Member=Component C23 22UuF
Added Member To Class: ClassName=12_Supply Member=Component C31 22uF
Added Member To Class: ClassName=12_Supply Member=Component C32 4.7uF
Added Member To Class: ClassName=12_Supply Member=Component C33 47pF
Added Member To Class: ClassName=36V_Supply Member=Component C34 CAP CER 0.47UF 50V X7R 1206
Added Member To Class: ClassName=36V_Supply Member=Component C35 CAP CER 0.047UF 16V X7R 0603
Added Member To Class: ClassName=36V_Supply Member=Component C36 CAP CER 0.047UF 16V X7R 0603
Added Member To Class: ClassName=36V_Supply Member=Component D2 D Schottky
Added Member To Class: ClassName=12_Supply Member=Component R9 59K
Added Member To Class: ClassName=36V_Supply Member=Component R11 RES SMD 10K OHM 1% 1/8W 0805
