Removed Pin From Net: NetName=-5 Pin=C9-1
Removed Pin From Net: NetName=GND Pin=C9-2
Removed Pin From Net: NetName=+5 Pin=C10-1
Removed Pin From Net: NetName=GND Pin=C10-2
Removed Pin From Net: NetName=Power_IN Pin=C11-1
Removed Pin From Net: NetName=+5 BBB Pin=R4-1
Removed Pin From Net: NetName=RC Pin=R4-2
Removed Pin From Net: NetName=RC Pin=U8-2
Removed Member From Class: ClassName=BBB-Supply Member=C18
Removed Member From Class: ClassName=BBB-Supply Member=C19
Removed Member From Class: ClassName=ADC Member=R7
Change Component Comment : Designator=C10 Old Comment=DNP New Comment=1uF
Change component parameters: Designator = "C10"; Footprint = "CAPC1812(4532)230_M"; UniqueID = "\YOLSOSJI"
Add component (AddParameter): Name = "Package Quantity"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "5003.0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Plating"; Value = "Silver"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "NoSVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHSCompliant"; Value = "True"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "ThroughHole"; VariantName = "[No Variations]"
Added Component: Designator=U3(LM2776DBVR)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Category"; Value = "Integrated Circuits (ICs)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.ti.com/lit/ds/symlink/lm2776.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/lit/ds/symlink/lm2776.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Output"; Value = "200mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency - Switching"; Value = "2MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Function"; Value = "Ratiometric"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "LM2776DBVR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Outputs"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-40°C ~ 85°C (TA)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Configuration"; Value = "Negative"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Type"; Value = "Fixed"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "SOT-23-6"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Digi-Reel®"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=1.05, 10=0.936, 100=0.7297, 500=0.60276, 1000=0.47586 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "13045"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "SOT-23-6"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "296-43957-6-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Synchronous Rectifier"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Topology"; Value = "Charge Pump"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Input (Max)"; Value = "5.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Input (Min)"; Value = "2.7V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Output (Max)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Output (Min/Fixed)"; Value = "-Vin"; VariantName = "[No Variations]"
Added Component: Designator=U13(LT-S8-8_L)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.linear.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://cds.linear.com/docs/en/datasheet/1763fg.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://cds.linear.com/docs/en/packaging/05081610_G_SO8.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "Rev. G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Discrete Pass Element"; Value = "no"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dropout Voltage(V)"; Value = "0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Iout(mA)"; Value = "500"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Isupply(mA)"; Value = "0.03"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Linear Technology"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Noise(uV)"; Value = "20"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Outputs"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Voltage"; Value = "5 V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "8-Pin Plastic Small Outline (Narrow .150 Inch), Body 4.9 x 3.9 mm, Pitch 1.27 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "S8-8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "Rev. G, 03/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "LT1763CS8-5#PBF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PSRR(dB)"; Value = "65"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Shutdown Current(uA)"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vin Max(V)"; Value = "20"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vin Min(V)"; Value = "1.8"; VariantName = "[No Variations]"
Added Pin To Net: NetName=+5 Pin=C9-1
Added Pin To Net: NetName=GND Pin=C10-1
Added Pin To Net: NetName=+5 BBB Pin=C10-2
Added Pin To Net: NetName=GND Pin=C11-1
Added Pin To Net: NetName=GND Pin=C24-1
Added Pin To Net: NetName=-5 Pin=C24-2
Added Pin To Net: NetName=GND Pin=C30-1
Added Pin To Net: NetName=+5 BBB Pin=C30-2
Added Pin To Net: NetName=RC Pin=R4-1
Added Pin To Net: NetName=GND Pin=R4-2
Added Pin To Net: NetName=GND Pin=R26-1
Added Pin To Net: NetName=RC Pin=R26-2
Added Pin To Net: NetName=Power_IN Pin=R27-1
Added Pin To Net: NetName=NetU4_9 Pin=TP1-1
Added Pin To Net: NetName=NetU8_9 Pin=TP3-1
Added Pin To Net: NetName=-5 Pin=U3-1
Added Pin To Net: NetName=GND Pin=U3-2
Added Pin To Net: NetName=+5 BBB Pin=U3-3
Added Pin To Net: NetName=RC Pin=U3-4
Added Pin To Net: NetName=+5 Pin=U13-1
Added Pin To Net: NetName=+5 Pin=U13-2
Added Pin To Net: NetName=GND Pin=U13-3
Added Pin To Net: NetName=RC Pin=U13-5
Added Pin To Net: NetName=GND Pin=U13-6
Added Pin To Net: NetName=GND Pin=U13-7
Added Pin To Net: NetName=+5 BBB Pin=U13-8
Change Net Name : Old Net Name=NetU4_9 New Net Name=NetTP1_1
Change Net Name : Old Net Name=NetU8_9 New Net Name=NetTP3_1
Added Pin To Net: NetName=NetC9_2 Pin=C9-2
Added Pin To Net: NetName=NetC9_2 Pin=U13-4
Added Net: Name=NetC9_2
Added Pin To Net: NetName=NetC29_1 Pin=C29-1
Added Pin To Net: NetName=NetC29_1 Pin=U3-6
Added Net: Name=NetC29_1
Added Pin To Net: NetName=NetC29_2 Pin=C29-2
Added Pin To Net: NetName=NetC29_2 Pin=U3-5
Added Net: Name=NetC29_2
Added Pin To Net: NetName=NetR27_2 Pin=R27-2
Added Pin To Net: NetName=NetR27_2 Pin=U8-2
Added Net: Name=NetR27_2
Added Pin To Net: NetName=NetTP2_1 Pin=TP2-1
Added Pin To Net: NetName=NetTP2_1 Pin=U4-17
Added Net: Name=NetTP2_1
Added Pin To Net: NetName=NetTP4_1 Pin=TP4-1
Added Pin To Net: NetName=NetTP4_1 Pin=U8-17
Added Net: Name=NetTP4_1
Added Member To Class: ClassName=BBB-Supply Member=Component C21 22Uf
Added Member To Class: ClassName=BBB-Supply Member=Component C22 22Uf
Added Member To Class: ClassName=5R_Supply Member=Component C24 10uF
Added Member To Class: ClassName=5R_Supply Member=Component C29 1uF
Added Member To Class: ClassName=5R_Supply Member=Component C30 CAP CER 470PF 3KV X7R 1812
Added Member To Class: ClassName=ADC Member=Component R14 10k
Added Member To Class: ClassName=5R_Supply Member=Component R26 470K
Added Member To Class: ClassName=BBB-Supply Member=Component R27 RES SMD 100K OHM 1% 1/8W 0805
Added Member To Class: ClassName=12_Supply Member=Component TP1 5003.0
Added Member To Class: ClassName=12_Supply Member=Component TP2 5003.0
Added Member To Class: ClassName=BBB-Supply Member=Component TP3 5003.0
Added Member To Class: ClassName=BBB-Supply Member=Component TP4 5003.0
Added Member To Class: ClassName=5R_Supply Member=Component U3 LM2776DBVR
Added Member To Class: ClassName=5R_Supply Member=Component U13 LT1763CS8-5#PBF
Added Room: Name=5R_Supply
Added Room: Name=36V_Supply
Added Room: Name=ADC
Added Room: Name=LM-008
Added Room: Name=Power_Input_FET
