Change Component Description : Designator=U5 Old Description=Beaglebone Black New Description=Beaglebone Black Header
Change component parameters: Designator = "U5"; Footprint = "Beaglebone Black"; UniqueID = "\OFACMOSS"
Add component (AddParameter): Name = "Voltage - Input"; Value = "4.3 V ~ 5.5 V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Output (Min/Fixed)"; Value = "4.096V"; VariantName = "[No Variations]"
Added Pin To Net: NetName=+5 Pin=C1-1
Added Pin To Net: NetName=GND Pin=C1-2
Added Pin To Net: NetName=+3.3 Pin=C2-1
Added Pin To Net: NetName=GND Pin=C2-2
Added Pin To Net: NetName=GND Pin=C3-2
Added Pin To Net: NetName=GND Pin=C4-1
Added Pin To Net: NetName=PWM1A Pin=P2-7
Added Pin To Net: NetName=GND Pin=P2-27
Added Pin To Net: NetName=FB_CS0 Pin=P3-2
Added Pin To Net: NetName=+5 BBB Pin=R2-2
Added Pin To Net: NetName=+12 Pin=R3-2
Added Pin To Net: NetName=ZH Pin=R4-2
Added Pin To Net: NetName=GND Pin=R5-1
Added Pin To Net: NetName=GND Pin=R6-1
Added Pin To Net: NetName=GND Pin=R7-1
Added Pin To Net: NetName=+5 Pin=R10-2
Added Pin To Net: NetName=GND Pin=R11-1
Added Pin To Net: NetName=GND Pin=R12-1
Added Pin To Net: NetName=GND Pin=R13-1
Added Pin To Net: NetName=+12 Pin=R27-2
Added Pin To Net: NetName=-5 Pin=R29-1
Added Pin To Net: NetName=+5 Pin=U1-2
Added Pin To Net: NetName=-5 Pin=U1-3
Added Pin To Net: NetName=+3.3 Pin=U1-4
Added Pin To Net: NetName=+5 Pin=U1-13
Added Pin To Net: NetName=GND Pin=U1-14
Added Pin To Net: NetName=GND Pin=U2-2
Added Pin To Net: NetName=+3.3 Pin=U2-3
Added Pin To Net: NetName=GND Pin=U2-4
Added Pin To Net: NetName=+5 Pin=U2-7
Added Pin To Net: NetName=GND Pin=U2-8
Added Pin To Net: NetName=GND Pin=U3-3
Added Pin To Net: NetName=-5 Pin=U3-4
Added Pin To Net: NetName=GND Pin=U3-4
Added Pin To Net: NetName=+5 Pin=U3-8
Added Pin To Net: NetName=GND Pin=U4-2
Added Pin To Net: NetName=+5 Pin=U4-3
Added Pin To Net: NetName=+5 Pin=U4-4
Change Net Name : Old Net Name=NetP2_3 New Net Name=BBB_PWR_SW
Change Net Name : Old Net Name=NetP3_8 New Net Name=Batt_1_Stat
Change Net Name : Old Net Name=NetP3_10 New Net Name=Batt_2_Stat
Change Net Name : Old Net Name=NetP3_14 New Net Name=Sys_Pwr_Enable
Change Net Name : Old Net Name=NetP3_18 New Net Name=PWM2A
Change Net Name : Old Net Name=NetP3_22 New Net Name=PWM2B
Change Net Name : Old Net Name=NetP3_26 New Net Name=FB_MUX_A1
Change Net Name : Old Net Name=NetP3_28 New Net Name=FB_MUX_A0
Added Pin To Net: NetName=ADC REF Pin=C4-2
Added Pin To Net: NetName=ADC REF Pin=U2-6
Added Pin To Net: NetName=ADC REF Pin=U4-5
Added Pin To Net: NetName=ADC REF Pin=U4-6
Added Net: Name=ADC REF
Added Pin To Net: NetName=AIN Pin=U1-8
Added Pin To Net: NetName=AIN Pin=U2-5
Added Net: Name=AIN
Added Pin To Net: NetName=Battery_1 Pin=P3-11
Added Pin To Net: NetName=Battery_1 Pin=R8-2
Added Net: Name=Battery_1
Added Pin To Net: NetName=Battery_2 Pin=P3-15
Added Pin To Net: NetName=Battery_2 Pin=R9-2
Added Net: Name=Battery_2
Added Pin To Net: NetName=CH1 Pin=R3-1
Added Pin To Net: NetName=CH1 Pin=R6-2
Added Pin To Net: NetName=CH1 Pin=U1-5
Added Net: Name=CH1
Added Pin To Net: NetName=CH2 Pin=R8-1
Added Pin To Net: NetName=CH2 Pin=R11-2
Added Pin To Net: NetName=CH2 Pin=U1-6
Added Net: Name=CH2
Added Pin To Net: NetName=CH3 Pin=R9-1
Added Pin To Net: NetName=CH3 Pin=R12-2
Added Pin To Net: NetName=CH3 Pin=U1-7
Added Net: Name=CH3
Added Pin To Net: NetName=CH4 Pin=U1-12
Added Pin To Net: NetName=CH4 Pin=U3-6
Added Pin To Net: NetName=CH4 Pin=U3-7
Added Net: Name=CH4
Added Pin To Net: NetName=CH5 Pin=R4-1
Added Pin To Net: NetName=CH5 Pin=R7-2
Added Pin To Net: NetName=CH5 Pin=U1-11
Added Net: Name=CH5
Added Pin To Net: NetName=CH6 Pin=R10-1
Added Pin To Net: NetName=CH6 Pin=R13-2
Added Pin To Net: NetName=CH6 Pin=U1-10
Added Net: Name=CH6
Added Pin To Net: NetName=CH7 Pin=R2-1
Added Pin To Net: NetName=CH7 Pin=R5-2
Added Pin To Net: NetName=CH7 Pin=U1-9
Added Net: Name=CH7
Added Pin To Net: NetName=NetC3_1 Pin=C3-1
Added Pin To Net: NetName=NetC3_1 Pin=U4-1
Added Net: Name=NetC3_1
Added Pin To Net: NetName=NetR14_1 Pin=R14-1
Added Pin To Net: NetName=NetR14_1 Pin=U3-1
Added Pin To Net: NetName=NetR14_1 Pin=U3-5
Added Net: Name=NetR14_1
Added Pin To Net: NetName=NetR14_2 Pin=R14-2
Added Pin To Net: NetName=NetR14_2 Pin=R28-1
Added Pin To Net: NetName=NetR14_2 Pin=U3-2
Added Net: Name=NetR14_2
Added Pin To Net: NetName=NetR27_1 Pin=R27-1
Added Pin To Net: NetName=NetR27_1 Pin=R28-2
Added Pin To Net: NetName=NetR27_1 Pin=R29-2
Added Net: Name=NetR27_1
Added Pin To Net: NetName=Power A0 Pin=P2-12
Added Pin To Net: NetName=Power A0 Pin=U1-1
Added Net: Name=Power A0
Added Pin To Net: NetName=Power A1 Pin=P2-14
Added Pin To Net: NetName=Power A1 Pin=U1-16
Added Net: Name=Power A1
Added Pin To Net: NetName=Power A2 Pin=P2-16
Added Pin To Net: NetName=Power A2 Pin=U1-15
Added Net: Name=Power A2
Added Class: Name=ADC
