Removed Pin From Net: NetName=Gearbox Heater FET_Buff Pin=U8-1
Removed Pin From Net: NetName=Gearbox Heater FET_Buff Pin=U8-2
Removed Pin From Net: NetName=Gearbox Heater FET Pin=U8-3
Removed Pin From Net: NetName=+5 Pin=U8-4
Removed Pin From Net: NetName=Arrestment Heater FET Pin=U8-5
Removed Pin From Net: NetName=Arrestment Heater FET_Buff Pin=U8-6
Removed Pin From Net: NetName=Arrestment Heater FET_Buff Pin=U8-7
Removed Pin From Net: NetName=Meter Heater FET_Buff Pin=U8-8
Removed Pin From Net: NetName=Meter Heater FET_Buff Pin=U8-9
Removed Pin From Net: NetName=Meter Heater FET Pin=U8-10
Removed Pin From Net: NetName=GND Pin=U8-11
Removed Pin From Net: NetName=Conning Tower FET Pin=U8-12
Removed Pin From Net: NetName=Conning Tower FET_Buff Pin=U8-13
Removed Pin From Net: NetName=Conning Tower FET_Buff Pin=U8-14
Change Component Footprint: Designator=U8 Old Footprint=PW0014A_N New Footprint=DBV0005A_M
Change Component Comment : Designator=U8 Old Comment=OPA4188AIPWR New Comment=OPA188AIDBVR
Change component parameters: Designator = "U8"; Footprint = "DBV0005A_M"; UniqueID = "\ILGEXCWH"
Add component. Clean all parameters for all variants
Added Component: Designator=R18(RESC0402(1005)_M)
Add component. Clean all parameters for all variants
Added Component: Designator=U6(DBV0005A_M)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "CMRR(Min)(dB)"; Value = "120"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Code_JEDEC"; Value = "MO-178"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/lit/ds/symlink/opa188.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.ti.com/litv/pdf/mpds018i"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "SBOS642A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Eco-Plan"; Value = "Green (RoHS & no Sb/Br)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "GBW(Typ)(MHz)"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Iq per channel(Max)(mA)"; Value = "0.51"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Offset Drift(Typ)(uV/C)"; Value = "0.03"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "5-Pin Plastic Small Outline, Body 1.6 x 2.9 mm, Pitch 0.95 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "DBV0005A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "4073253-4/K, 03/2006"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packing"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "OPA188AIDBVR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rating"; Value = "Catalog"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Slew Rate(Typ)(V/us)"; Value = "0.8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SubFamily"; Value = "Zero Drift Precision Amplifier"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Max)(+5V is 5, +/-5V is 10)"; Value = "36"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Min)(+5V is 5, +/-5V is 10)"; Value = "4"; VariantName = "[No Variations]"
Added Component: Designator=U9(DBV0005A_M)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "CMRR(Min)(dB)"; Value = "120"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Code_JEDEC"; Value = "MO-178"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/lit/ds/symlink/opa188.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.ti.com/litv/pdf/mpds018i"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "SBOS642A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Eco-Plan"; Value = "Green (RoHS & no Sb/Br)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "GBW(Typ)(MHz)"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Iq per channel(Max)(mA)"; Value = "0.51"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Offset Drift(Typ)(uV/C)"; Value = "0.03"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "5-Pin Plastic Small Outline, Body 1.6 x 2.9 mm, Pitch 0.95 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "DBV0005A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "4073253-4/K, 03/2006"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packing"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "OPA188AIDBVR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rating"; Value = "Catalog"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Slew Rate(Typ)(V/us)"; Value = "0.8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SubFamily"; Value = "Zero Drift Precision Amplifier"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Max)(+5V is 5, +/-5V is 10)"; Value = "36"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Min)(+5V is 5, +/-5V is 10)"; Value = "4"; VariantName = "[No Variations]"
Added Component: Designator=U10(DBV0005A_M)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "CMRR(Min)(dB)"; Value = "120"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Code_JEDEC"; Value = "MO-178"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/lit/ds/symlink/opa188.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.ti.com/litv/pdf/mpds018i"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "SBOS642A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Eco-Plan"; Value = "Green (RoHS & no Sb/Br)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "GBW(Typ)(MHz)"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Iq per channel(Max)(mA)"; Value = "0.51"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Offset Drift(Typ)(uV/C)"; Value = "0.03"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "5-Pin Plastic Small Outline, Body 1.6 x 2.9 mm, Pitch 0.95 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "DBV0005A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "4073253-4/K, 03/2006"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packing"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "OPA188AIDBVR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rating"; Value = "Catalog"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Slew Rate(Typ)(V/us)"; Value = "0.8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SubFamily"; Value = "Zero Drift Precision Amplifier"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Max)(+5V is 5, +/-5V is 10)"; Value = "36"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Min)(+5V is 5, +/-5V is 10)"; Value = "4"; VariantName = "[No Variations]"
Added Component: Designator=U11(DBV0005A_M)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "CMRR(Min)(dB)"; Value = "120"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Code_JEDEC"; Value = "MO-178"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/lit/ds/symlink/opa188.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.ti.com/litv/pdf/mpds018i"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "SBOS642A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Eco-Plan"; Value = "Green (RoHS & no Sb/Br)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "GBW(Typ)(MHz)"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Iq per channel(Max)(mA)"; Value = "0.51"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Offset Drift(Typ)(uV/C)"; Value = "0.03"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "5-Pin Plastic Small Outline, Body 1.6 x 2.9 mm, Pitch 0.95 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "DBV0005A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "4073253-4/K, 03/2006"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packing"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "OPA188AIDBVR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rating"; Value = "Catalog"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Slew Rate(Typ)(V/us)"; Value = "0.8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SubFamily"; Value = "Zero Drift Precision Amplifier"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Max)(+5V is 5, +/-5V is 10)"; Value = "36"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Min)(+5V is 5, +/-5V is 10)"; Value = "4"; VariantName = "[No Variations]"
Added Component: Designator=U12(DBV0005A_M)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "CMRR(Min)(dB)"; Value = "120"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Code_JEDEC"; Value = "MO-178"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/lit/ds/symlink/opa188.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.ti.com/litv/pdf/mpds018i"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "SBOS642A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Eco-Plan"; Value = "Green (RoHS & no Sb/Br)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "GBW(Typ)(MHz)"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Iq per channel(Max)(mA)"; Value = "0.51"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Offset Drift(Typ)(uV/C)"; Value = "0.03"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "5-Pin Plastic Small Outline, Body 1.6 x 2.9 mm, Pitch 0.95 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "DBV0005A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "4073253-4/K, 03/2006"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packing"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "OPA188AIDBVR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rating"; Value = "Catalog"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Slew Rate(Typ)(V/us)"; Value = "0.8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SubFamily"; Value = "Zero Drift Precision Amplifier"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Max)(+5V is 5, +/-5V is 10)"; Value = "36"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Min)(+5V is 5, +/-5V is 10)"; Value = "4"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=P4-2
Added Pin To Net: NetName=+5 Pin=P6-3
Added Pin To Net: NetName=FB_MUX_A1 Pin=P6-4
Added Pin To Net: NetName=+3.3 Pin=P6-5
Added Pin To Net: NetName=FB_MUX_A0 Pin=P6-6
Added Pin To Net: NetName=ZH Pin=P6-7
Added Pin To Net: NetName=FB_CS0 Pin=P6-9
Added Pin To Net: NetName=NetP2_18 Pin=P7-1
Added Pin To Net: NetName=+5 Pin=P7-5
Added Pin To Net: NetName=+12 Pin=P7-6
Added Pin To Net: NetName=PWM2B Pin=P7-7
Added Pin To Net: NetName=-5 Pin=P7-8
Added Pin To Net: NetName=GND Pin=P7-10
Added Pin To Net: NetName=Battery Thermistor Pin=P8-1
Added Pin To Net: NetName=+5 BBB Pin=P8-2
Added Pin To Net: NetName=NetP8_4 Pin=P8-4
Added Pin To Net: NetName=GND Pin=P8-5
Added Pin To Net: NetName=GND Pin=P8-7
Added Pin To Net: NetName=Sys_Pwr_Enable Pin=P8-8
Added Pin To Net: NetName=GND Pin=P8-9
Added Pin To Net: NetName=+9 Pin=P8-10
Added Pin To Net: NetName=GND Pin=P8-11
Added Pin To Net: NetName=GND Pin=P8-13
Added Pin To Net: NetName=GND Pin=P8-14
Added Pin To Net: NetName=+12 Pin=P8-15
Added Pin To Net: NetName=+12 Pin=P8-16
Added Pin To Net: NetName=Power_IN Pin=P9-2
Added Pin To Net: NetName=Relay_Out Pin=P9-4
Added Pin To Net: NetName=+3.3 Pin=P9-5
Added Pin To Net: NetName=GND Pin=P9-6
Added Pin To Net: NetName=GND Pin=P9-8
Added Pin To Net: NetName=GND Pin=P9-10
Added Pin To Net: NetName=ZH Pin=P9-11
Added Pin To Net: NetName=GND Pin=P9-12
Added Pin To Net: NetName=+5 Pin=P9-13
Added Pin To Net: NetName=GND Pin=P9-14
Added Pin To Net: NetName=-5 Pin=P9-15
Added Pin To Net: NetName=GND Pin=P9-16
Added Pin To Net: NetName=GND Pin=R15-2
Added Pin To Net: NetName=GND Pin=R16-2
Added Pin To Net: NetName=GND Pin=R17-2
Added Pin To Net: NetName=GND Pin=R18-2
Added Pin To Net: NetName=Meter Heater FET_Buff Pin=U6-1
Added Pin To Net: NetName=GND Pin=U6-2
Added Pin To Net: NetName=Meter Heater FET Pin=U6-3
Added Pin To Net: NetName=Meter Heater FET_Buff Pin=U6-4
Added Pin To Net: NetName=+5 Pin=U6-5
Added Pin To Net: NetName=Arrestment Heater FET_Buff Pin=U8-1
Added Pin To Net: NetName=GND Pin=U8-2
Added Pin To Net: NetName=Arrestment Heater FET Pin=U8-3
Added Pin To Net: NetName=Arrestment Heater FET_Buff Pin=U8-4
Added Pin To Net: NetName=+5 Pin=U8-5
Added Pin To Net: NetName=GND Pin=U9-2
Added Pin To Net: NetName=+5 Pin=U9-5
Added Pin To Net: NetName=Gearbox Heater FET_Buff Pin=U10-1
Added Pin To Net: NetName=GND Pin=U10-2
Added Pin To Net: NetName=Gearbox Heater FET Pin=U10-3
Added Pin To Net: NetName=Gearbox Heater FET_Buff Pin=U10-4
Added Pin To Net: NetName=+5 Pin=U10-5
Added Pin To Net: NetName=GND Pin=U11-2
Added Pin To Net: NetName=+5 Pin=U11-5
Added Pin To Net: NetName=Conning Tower FET_Buff Pin=U12-1
Added Pin To Net: NetName=GND Pin=U12-2
Added Pin To Net: NetName=Conning Tower FET Pin=U12-3
Added Pin To Net: NetName=Conning Tower FET_Buff Pin=U12-4
Added Pin To Net: NetName=+5 Pin=U12-5
Added Pin To Net: NetName=Board Heater FET_Buff 1 Pin=DS3-1
Added Pin To Net: NetName=Board Heater FET_Buff 1 Pin=P12-17
Added Pin To Net: NetName=Board Heater FET_Buff 1 Pin=U9-1
Added Pin To Net: NetName=Board Heater FET_Buff 1 Pin=U9-4
Added Net: Name=Board Heater FET_Buff 1
Added Pin To Net: NetName=Board Heater FET_Buff 2 Pin=DS4-1
Added Pin To Net: NetName=Board Heater FET_Buff 2 Pin=P12-18
Added Pin To Net: NetName=Board Heater FET_Buff 2 Pin=U11-1
Added Pin To Net: NetName=Board Heater FET_Buff 2 Pin=U11-4
Added Net: Name=Board Heater FET_Buff 2
Added Pin To Net: NetName=NetDS3_2 Pin=DS3-2
Added Pin To Net: NetName=NetDS3_2 Pin=R16-1
Added Net: Name=NetDS3_2
Added Pin To Net: NetName=NetDS4_2 Pin=DS4-2
Added Pin To Net: NetName=NetDS4_2 Pin=R18-1
Added Net: Name=NetDS4_2
Added Pin To Net: NetName=NetP4_1 Pin=P4-1
Added Pin To Net: NetName=NetP4_1 Pin=U5-8-23
Added Net: Name=NetP4_1
Added Pin To Net: NetName=NetR15_1 Pin=R15-1
Added Pin To Net: NetName=NetR15_1 Pin=U9-3
Added Net: Name=NetR15_1
Added Pin To Net: NetName=NetR17_1 Pin=R17-1
Added Pin To Net: NetName=NetR17_1 Pin=U11-3
Added Net: Name=NetR17_1
Added Member To Class: ClassName=heater_control Member=Component DS3 Visible Name Value Type    False Description Lite-On LTST-S220KRKT Red LED, 631 nm 2012 (0805) Side View, Rectangle Lens SMD package STRING
Added Member To Class: ClassName=heater_control Member=Component DS4 Visible Name Value Type    False Description Lite-On LTST-S220KRKT Red LED, 631 nm 2012 (0805) Side View, Rectangle Lens SMD package STRING
Added Member To Class: ClassName=Connectors Member=Component P4 HTSS-115-01-DV
Added Member To Class: ClassName=Connectors Member=Component P6 SLW-105-01-G-D
Added Member To Class: ClassName=Connectors Member=Component P7 SLW-105-01-G-D
Added Member To Class: ClassName=Connectors Member=Component P8 SLW-108-01-G-D
Added Member To Class: ClassName=Connectors Member=Component P9 SLW-108-01-G-D
Added Member To Class: ClassName=heater_control Member=Component R15 20k
Added Member To Class: ClassName=heater_control Member=Component R16 4.99k
Added Member To Class: ClassName=heater_control Member=Component R17 20k
Added Member To Class: ClassName=heater_control Member=Component R18 4.99k
Added Member To Class: ClassName=heater_control Member=Component U6 OPA188AIDBVR
Added Member To Class: ClassName=heater_control Member=Component U9 OPA188AIDBVR
Added Member To Class: ClassName=heater_control Member=Component U10 OPA188AIDBVR
Added Member To Class: ClassName=heater_control Member=Component U11 OPA188AIDBVR
Added Member To Class: ClassName=heater_control Member=Component U12 OPA188AIDBVR
