Removed Pin From Net: NetName=+12 Pin=DS1-1
Removed Pin From Net: NetName=+12 Pin=DS2-1
Removed Pin From Net: NetName=Meter_Htr_LED Pin=DS2-2
Removed Pin From Net: NetName=+12 Pin=DS3-1
Removed Pin From Net: NetName=+12 Pin=DS4-1
Removed Pin From Net: NetName=Arrestment Htr_LED Pin=DS4-2
Removed Pin From Net: NetName=+12 Pin=DS5-1
Removed Pin From Net: NetName=Board1_Htr LED Pin=DS5-2
Removed Pin From Net: NetName=Gearbox Htr Out Pin=P3-1
Removed Pin From Net: NetName=PF9 Pin=P3-2
Removed Pin From Net: NetName=+12 Pin=P3-3
Removed Pin From Net: NetName=GND Pin=P3-4
Removed Pin From Net: NetName=Conning Tower Htr Out Pin=P3-5
Removed Pin From Net: NetName=PC0 Pin=P3-6
Removed Pin From Net: NetName=+12 Pin=P3-7
Removed Pin From Net: NetName=GND Pin=P3-8
Removed Pin From Net: NetName=Arrestment Htr Out Pin=P3-9
Removed Pin From Net: NetName=PA3 Pin=P3-10
Removed Pin From Net: NetName=+12 Pin=P3-11
Removed Pin From Net: NetName=GND Pin=P3-12
Removed Pin From Net: NetName=Meter_Htr_Out Pin=P3-13
Removed Pin From Net: NetName=PB1 Pin=P3-14
Removed Pin From Net: NetName=+12 Pin=P3-15
Removed Pin From Net: NetName=GND Pin=P3-16
Removed Pin From Net: NetName=Board1 Htr Out Pin=P3-17
Removed Pin From Net: NetName=PA4 Pin=P3-18
Removed Pin From Net: NetName=+12 Pin=P3-19
Removed Pin From Net: NetName=GND Pin=P3-20
Removed Pin From Net: NetName=PA5 Pin=P3-22
Removed Pin From Net: NetName=GND Pin=P3-24
Removed Pin From Net: NetName=PF7 Pin=P3-26
Removed Pin From Net: NetName=GND Pin=P3-28
Removed Pin From Net: NetName=Conning Tower Htr Out Pin=R11-1
Removed Pin From Net: NetName=Meter_Htr_LED Pin=R12-1
Removed Pin From Net: NetName=Meter_Htr_Out Pin=R12-2
Removed Pin From Net: NetName=Meter Heater FET Pin=R14-1
Removed Pin From Net: NetName=Gearbox Htr Out Pin=R15-1
Removed Pin From Net: NetName=Arrestment Htr_LED Pin=R16-1
Removed Pin From Net: NetName=Arrestment Htr Out Pin=R16-2
Removed Pin From Net: NetName=Arrestment Heater FET Pin=R17-1
Removed Pin From Net: NetName=Gearbox Heater FET Pin=R18-1
Removed Pin From Net: NetName=Board1 Htr Out Pin=R19-1
Removed Pin From Net: NetName=Board1_Htr LED Pin=R19-2
Removed Pin From Net: NetName=Board1 Heater FET Pin=R20-1
Removed Pin From Net: NetName=PC0 Pin=R22-1
Removed Pin From Net: NetName=PA3 Pin=R23-2
Removed Pin From Net: NetName=PB1 Pin=R24-1
Removed Pin From Net: NetName=PA4 Pin=R25-2
Removed Pin From Net: NetName=PA5 Pin=R26-1
Change Component Comment : Designator=P3 Old Comment=TFM-115-02-S-D-A New Comment=TSW-102-07-S-S
Change component parameters: Designator = "P3"; Footprint = "SMTC-TSW-102-07-S-S"; UniqueID = "\PWNJKWDI"
Add component (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rows"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "10008"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "SAM1033-02-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "Solder"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "2.54mm"; VariantName = "[No Variations]"
Added Component: Designator=P10(SMTC-TSW-102-07-S-S)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Color"; Value = "Black"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Colour"; Value = "Black"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.samtec.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://suddendocs.samtec.com/catalog_english/tsw_th.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/28366/1796313-28366300.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/28366/1796313-28366300.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/16734/htsw-th-16734222.pdf?src-supplier=Avnet+Europe"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/16734/htsw-th-16734222.pdf?src-supplier=Avnet+Europe"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Connector Type"; Value = "Male Pin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Finish"; Value = "Gold"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material"; Value = "Bronze"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Mating Length"; Value = "0.23inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "12/2015"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "2.54mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gender"; Value = "Male"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "8.38 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Housing Color"; Value = "Black"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Housing Material"; Value = "Polyester"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "0.1 inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "5.08 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Samtec"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "TSW-102-07-S-S"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Current Rating"; Value = "7.6A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125 degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Voltage Rating (AC)"; Value = "550V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55 degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Contacts"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Positions"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Rows"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Orientation"; Value = "Straight"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 8.38 mm, Tail Length 2.54 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "TSW-102-07-S-S"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "2.54mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.33000, 10=0.31200, 25=0.26800, 50=0.22760, 100=0.21870, 250=0.19640, 500=0.18748 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rows"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "10008"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "SAM1033-02-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "Solder"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "2.54mm"; VariantName = "[No Variations]"
Added Component: Designator=U45(TFM-115-01-L-D-RE2-WT)
Add component. Clean all parameters for all variants
Added Pin To Net: NetName=Batt Pin=DS1-1
Added Pin To Net: NetName=Batt Pin=DS2-1
Added Pin To Net: NetName=Batt Pin=DS3-1
Added Pin To Net: NetName=Meter_Htr_LED Pin=DS3-2
Added Pin To Net: NetName=Batt Pin=DS4-1
Added Pin To Net: NetName=Board1_Htr LED Pin=DS4-2
Added Pin To Net: NetName=Batt Pin=DS5-1
Added Pin To Net: NetName=Arrestment Htr_LED Pin=DS5-2
Added Pin To Net: NetName=Meter_Htr_Out Pin=P3-1
Added Pin To Net: NetName=Meter_Htr_Out Pin=R11-1
Added Pin To Net: NetName=Conning Tower Htr Out Pin=R12-1
Added Pin To Net: NetName=Gearbox Heater FET Pin=R14-1
Added Pin To Net: NetName=Meter_Htr_LED Pin=R15-1
Added Pin To Net: NetName=Arrestment Htr Out Pin=R15-2
Added Pin To Net: NetName=Gearbox Htr Out Pin=R16-1
Added Pin To Net: NetName=Board1_Htr LED Pin=R16-2
Added Pin To Net: NetName=Meter Heater FET Pin=R17-1
Added Pin To Net: NetName=Board1 Heater FET Pin=R18-1
Added Pin To Net: NetName=Arrestment Htr_LED Pin=R19-1
Added Pin To Net: NetName=Board1 Htr Out Pin=R19-2
Added Pin To Net: NetName=Arrestment Heater FET Pin=R20-1
Added Pin To Net: NetName=PF4 Pin=R22-1
Added Pin To Net: NetName=PF6 Pin=R23-2
Added Pin To Net: NetName=PF8 Pin=R24-1
Added Pin To Net: NetName=PF3 Pin=R25-2
Added Pin To Net: NetName=PA3 Pin=R26-1
Added Pin To Net: NetName=NetLabel209 Pin=U11-9
Added Pin To Net: NetName=PF9 Pin=U45-1
Added Pin To Net: NetName=GND Pin=U45-3
Added Pin To Net: NetName=Batt Pin=U45-4
Added Pin To Net: NetName=PF4 Pin=U45-5
Added Pin To Net: NetName=GND Pin=U45-7
Added Pin To Net: NetName=Batt Pin=U45-8
Added Pin To Net: NetName=PF6 Pin=U45-9
Added Pin To Net: NetName=GND Pin=U45-11
Added Pin To Net: NetName=Batt Pin=U45-12
Added Pin To Net: NetName=PF8 Pin=U45-13
Added Pin To Net: NetName=GND Pin=U45-15
Added Pin To Net: NetName=Batt Pin=U45-16
Added Pin To Net: NetName=PF3 Pin=U45-17
Added Pin To Net: NetName=GND Pin=U45-19
Added Pin To Net: NetName=Batt Pin=U45-20
Added Pin To Net: NetName=PA3 Pin=U45-21
Added Pin To Net: NetName=GND Pin=U45-23
Added Pin To Net: NetName=PF7 Pin=U45-25
Added Pin To Net: NetName=GND Pin=U45-27
Change Net Name : Old Net Name=Arrestment Htr Out New Net Name=NetP8_1
Change Net Name : Old Net Name=Board1 Htr Out New Net Name=NetP10_1
Change Net Name : Old Net Name=Conning Tower Htr_LED New Net Name=Gearbox Htr_LED
Change Net Name : Old Net Name=Conning Tower Htr Out New Net Name=NetP2_1
Change Net Name : Old Net Name=Gearbox Htr Out New Net Name=NetP9_1
Change Net Name : Old Net Name=Meter_Htr_Out New Net Name=NetP3_1
Added Pin To Net: NetName=Arrestment Htr Out Pin=U45-10
Added Net: Name=Arrestment Htr Out
Added Pin To Net: NetName=Board1 Htr Out Pin=U45-2
Added Net: Name=Board1 Htr Out
Added Pin To Net: NetName=Conning Tower Htr_LED Pin=DS2-2
Added Pin To Net: NetName=Conning Tower Htr_LED Pin=R12-2
Added Net: Name=Conning Tower Htr_LED
Added Pin To Net: NetName=Conning Tower Htr Out Pin=U45-14
Added Net: Name=Conning Tower Htr Out
Added Pin To Net: NetName=Gearbox Htr Out Pin=P3-2
Added Pin To Net: NetName=Gearbox Htr Out Pin=U45-18
Added Net: Name=Gearbox Htr Out
Added Pin To Net: NetName=Meter_Htr_Out Pin=U45-6
Added Net: Name=Meter_Htr_Out
Added Member To Class: ClassName=Heater Member=Component U45 TFM-115-01-L-D-RE2-WT
